Scan: XES 392.4 eV #0
Date: 2012 08 17 21:02:16
Sample: [no sample]
Facility: CLS REIXS Beamline

xesSpectrum.X	xesSpectrum	
415.476	857	
415.561	891	
415.645	892	
415.73	885	
415.815	864	
415.9	875	
415.985	895	
416.07	855	
416.155	859	
416.24	846	
416.325	890	
416.41	868	
416.495	900	
416.58	877	
416.666	819	
416.751	909	
416.836	834	
416.921	881	
417.007	858	
417.092	845	
417.178	813	
417.263	871	
417.349	784	
417.434	784	
417.52	835	
417.606	832	
417.691	832	
417.777	830	
417.863	823	
417.949	788	
418.035	834	
418.121	858	
418.207	792	
418.293	812	
418.379	823	
418.465	775	
418.551	782	
418.637	826	
418.723	784	
418.81	801	
418.896	796	
418.982	882	
419.069	771	
419.155	776	
419.241	762	
419.328	751	
419.414	775	
419.501	767	
419.588	838	
419.674	772	
419.761	776	
419.848	781	
419.934	807	
420.021	818	
420.108	794	
420.195	801	
420.282	762	
420.369	800	
420.456	739	
420.543	747	
420.63	767	
420.717	752	
420.805	746	
420.892	721	
420.979	754	
421.066	747	
421.154	737	
421.241	789	
421.329	758	
421.416	762	
421.504	751	
421.591	707	
421.679	712	
421.766	734	
421.854	720	
421.942	778	
422.03	766	
422.117	779	
422.205	745	
422.293	737	
422.381	740	
422.469	776	
422.557	792	
422.645	744	
422.733	626	
422.822	493	
422.91	384	
422.998	296	
423.086	262	
423.175	205	
423.263	135	
423.351	127	
423.44	114	
423.528	76	
423.617	87	
423.706	53	
423.794	25	
423.883	27	
423.972	11	
424.06	5	
424.149	1	
424.238	0	
424.327	1	
424.416	0	
424.505	0	
424.594	0	
424.683	0	
424.772	0	
424.861	0	
424.95	0	
425.039	0	
425.129	0	
425.218	0	
425.307	0	
425.397	0	
425.486	0	
425.576	0	
425.665	0	
425.755	0	
425.844	0	
425.934	0	
426.024	0	
426.113	0	
426.203	0	
426.293	0	
426.383	0	
426.473	0	
426.563	0	
426.653	0	
426.743	0	
426.833	0	
426.923	0	
427.013	0	
427.103	0	
427.194	0	
427.284	0	
427.374	0	
427.465	0	
427.555	0	
427.646	0	
427.736	0	
427.827	0	
427.917	0	
428.008	0	
428.099	0	
428.189	0	
428.28	0	
428.371	0	
428.462	0	
428.553	0	
428.644	0	
428.735	0	
428.826	0	
428.917	0	
429.008	0	
429.099	0	
429.191	0	
429.282	0	
429.373	0	
429.465	0	
429.556	0	
429.647	0	
429.739	0	
429.83	0	
429.922	0	
430.014	0	
430.105	0	
430.197	0	
430.289	0	
430.381	0	
430.472	0	
430.564	0	
430.656	0	
430.748	0	
430.84	0	
430.932	0	
431.025	0	
431.117	0	
431.209	0	
431.301	0	
431.394	0	
431.486	0	
431.578	0	
431.671	0	
431.763	0	
431.856	0	
431.948	0	
432.041	0	
