Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3
Blazed 	2.6(0:0:0) 	176.5 	0 	750 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.313095 	0.0248768 	0.0176905 	0.0177989
Blazed 	2.6(0:0:0) 	176.5 	0 	755 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.312166 	0.0246974 	0.0174949 	0.0176607
Blazed 	2.6(0:0:0) 	176.5 	0 	760 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.311345 	0.0245332 	0.0173104 	0.0175281
Blazed 	2.6(0:0:0) 	176.5 	0 	765 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.310624 	0.0243789 	0.0171335 	0.0173979
Blazed 	2.6(0:0:0) 	176.5 	0 	770 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.310066 	0.0242427 	0.0169693 	0.0172747
Blazed 	2.6(0:0:0) 	176.5 	0 	775 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.309769 	0.0241266 	0.0168185 	0.0171583
Blazed 	2.6(0:0:0) 	176.5 	0 	780 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.309692 	0.024027 	0.0166788 	0.0170471
Blazed 	2.6(0:0:0) 	176.5 	0 	785 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.309678 	0.0239259 	0.0165387 	0.0169319
Blazed 	2.6(0:0:0) 	176.5 	0 	790 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.309723 	0.0238258 	0.0164 	0.0168149
Blazed 	2.6(0:0:0) 	176.5 	0 	795 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.5 	80 	  	0.30975 	0.0237163 	0.0162562 	0.0166904
