Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3
Blazed 	2.6(0:0:0) 	176.5 	0 	800 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.284574 	0.0120239 	0.00525589 	0.00416626
Blazed 	2.6(0:0:0) 	176.5 	0 	805 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.28433 	0.0119281 	0.0051872 	0.00409432
Blazed 	2.6(0:0:0) 	176.5 	0 	810 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.284096 	0.0118311 	0.00511855 	0.00402324
Blazed 	2.6(0:0:0) 	176.5 	0 	815 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.283764 	0.0117296 	0.00504869 	0.00395205
Blazed 	2.6(0:0:0) 	176.5 	0 	820 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.283427 	0.0116268 	0.00497888 	0.0038817
Blazed 	2.6(0:0:0) 	176.5 	0 	825 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.283027 	0.0115214 	0.00490867 	0.00381182
Blazed 	2.6(0:0:0) 	176.5 	0 	830 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.282613 	0.0114148 	0.00483851 	0.00374272
Blazed 	2.6(0:0:0) 	176.5 	0 	835 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.282151 	0.0113063 	0.00476821 	0.00367424
Blazed 	2.6(0:0:0) 	176.5 	0 	840 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.281668 	0.0111964 	0.0046979 	0.00360642
Blazed 	2.6(0:0:0) 	176.5 	0 	845 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.28115 	0.0110848 	0.00462748 	0.00353918
Blazed 	2.6(0:0:0) 	176.5 	0 	850 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.280613 	0.0109724 	0.00455735 	0.00347276
Blazed 	2.6(0:0:0) 	176.5 	0 	855 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.280055 	0.0108594 	0.00448749 	0.00340713
Blazed 	2.6(0:0:0) 	176.5 	0 	860 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.279475 	0.0107456 	0.00441792 	0.00334225
Blazed 	2.6(0:0:0) 	176.5 	0 	865 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.278874 	0.010631 	0.00434863 	0.00327809
Blazed 	2.6(0:0:0) 	176.5 	0 	870 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.278246 	0.0105155 	0.00427948 	0.00321452
Blazed 	2.6(0:0:0) 	176.5 	0 	875 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.277588 	0.0103989 	0.00421049 	0.00315151
Blazed 	2.6(0:0:0) 	176.5 	0 	880 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.276904 	0.0102814 	0.00414172 	0.00308909
Blazed 	2.6(0:0:0) 	176.5 	0 	885 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.276183 	0.010163 	0.00407317 	0.00302724
Blazed 	2.6(0:0:0) 	176.5 	0 	890 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.275446 	0.0100442 	0.00400504 	0.00296607
Blazed 	2.6(0:0:0) 	176.5 	0 	895 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.274677 	0.0099253 	0.00393751 	0.00290572
Blazed 	2.6(0:0:0) 	176.5 	0 	900 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.273899 	0.00980599 	0.00387033 	0.00284594
Blazed 	2.6(0:0:0) 	176.5 	0 	905 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.273082 	0.00968658 	0.00380377 	0.00278693
Blazed 	2.6(0:0:0) 	176.5 	0 	910 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.272267 	0.009567 	0.00373765 	0.00272857
Blazed 	2.6(0:0:0) 	176.5 	0 	915 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.271409 	0.00944776 	0.00367236 	0.0026711
Blazed 	2.6(0:0:0) 	176.5 	0 	920 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.270565 	0.00932827 	0.00360745 	0.00261421
Blazed 	2.6(0:0:0) 	176.5 	0 	925 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.2697 	0.00920967 	0.00354353 	0.00255833
Blazed 	2.6(0:0:0) 	176.5 	0 	930 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.268852 	0.00909069 	0.00347992 	0.00250297
Blazed 	2.6(0:0:0) 	176.5 	0 	935 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.26796 	0.00897219 	0.0034172 	0.00244854
Blazed 	2.6(0:0:0) 	176.5 	0 	940 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.267079 	0.00885336 	0.00335482 	0.00239465
Blazed 	2.6(0:0:0) 	176.5 	0 	945 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.266151 	0.00873447 	0.00329309 	0.00234154
Blazed 	2.6(0:0:0) 	176.5 	0 	950 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.265219 	0.00861528 	0.00323178 	0.00228903
Blazed 	2.6(0:0:0) 	176.5 	0 	955 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.264247 	0.00849556 	0.00317088 	0.00223713
Blazed 	2.6(0:0:0) 	176.5 	0 	960 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.263248 	0.00837532 	0.00311036 	0.00218584
Blazed 	2.6(0:0:0) 	176.5 	0 	965 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.262234 	0.00825498 	0.00305036 	0.00213525
Blazed 	2.6(0:0:0) 	176.5 	0 	970 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.261177 	0.00813479 	0.00299107 	0.00208549
Blazed 	2.6(0:0:0) 	176.5 	0 	975 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.260124 	0.00801431 	0.00293216 	0.00203636
Blazed 	2.6(0:0:0) 	176.5 	0 	980 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.259013 	0.00789446 	0.00287418 	0.00198822
Blazed 	2.6(0:0:0) 	176.5 	0 	985 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.25791 	0.00777423 	0.00281652 	0.00194068
Blazed 	2.6(0:0:0) 	176.5 	0 	990 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.256763 	0.00765469 	0.00275976 	0.00189412
Blazed 	2.6(0:0:0) 	176.5 	0 	995 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.255611 	0.00753507 	0.00270346 	0.00184825
Blazed 	2.6(0:0:0) 	176.5 	0 	1000 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	6 	80 	  	0.25444 	0.00741604 	0.00264793 	0.00180328
