Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3
Blazed 	2.6(0:0:0) 	176.5 	0 	745 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.323947 	0.0320704 	0.0254383 	0.0210943
Blazed 	2.6(0:0:0) 	176.5 	0 	750 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.322957 	0.0318471 	0.0252303 	0.0210905
Blazed 	2.6(0:0:0) 	176.5 	0 	755 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.322012 	0.031629 	0.0250239 	0.021084
Blazed 	2.6(0:0:0) 	176.5 	0 	760 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.321174 	0.0314286 	0.0248284 	0.021082
Blazed 	2.6(0:0:0) 	176.5 	0 	765 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.320435 	0.0312404 	0.0246395 	0.0210804
Blazed 	2.6(0:0:0) 	176.5 	0 	770 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319854 	0.0310737 	0.0244639 	0.0210842
Blazed 	2.6(0:0:0) 	176.5 	0 	775 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319531 	0.0309319 	0.0243028 	0.0210915
Blazed 	2.6(0:0:0) 	176.5 	0 	780 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319425 	0.0308103 	0.0241534 	0.0211013
Blazed 	2.6(0:0:0) 	176.5 	0 	785 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319385 	0.0306882 	0.0240014 	0.0211041
Blazed 	2.6(0:0:0) 	176.5 	0 	790 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319405 	0.0305682 	0.0238492 	0.0211023
Blazed 	2.6(0:0:0) 	176.5 	0 	795 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319412 	0.030438 	0.0236883 	0.0210896
Blazed 	2.6(0:0:0) 	176.5 	0 	800 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319454 	0.0303079 	0.0235262 	0.0210721
Blazed 	2.6(0:0:0) 	176.5 	0 	805 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319314 	0.0301552 	0.0233483 	0.0210406
Blazed 	2.6(0:0:0) 	176.5 	0 	810 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.319195 	0.0300024 	0.0231696 	0.0210043
Blazed 	2.6(0:0:0) 	176.5 	0 	815 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.318995 	0.0298411 	0.022985 	0.0209608
Blazed 	2.6(0:0:0) 	176.5 	0 	820 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.318801 	0.029679 	0.0227995 	0.0209125
Blazed 	2.6(0:0:0) 	176.5 	0 	825 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.318558 	0.0295122 	0.0226109 	0.0208585
Blazed 	2.6(0:0:0) 	176.5 	0 	830 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.31831 	0.0293441 	0.0224215 	0.0207998
Blazed 	2.6(0:0:0) 	176.5 	0 	835 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.318028 	0.0291729 	0.0222303 	0.0207361
Blazed 	2.6(0:0:0) 	176.5 	0 	840 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.317736 	0.0289998 	0.022038 	0.0206673
Blazed 	2.6(0:0:0) 	176.5 	0 	845 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.317421 	0.0288241 	0.0218444 	0.0205936
Blazed 	2.6(0:0:0) 	176.5 	0 	850 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.317098 	0.0286477 	0.0216508 	0.0205158
Blazed 	2.6(0:0:0) 	176.5 	0 	855 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.316763 	0.0284702 	0.0214571 	0.0204341
Blazed 	2.6(0:0:0) 	176.5 	0 	860 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.316418 	0.0282918 	0.0212635 	0.0203484
Blazed 	2.6(0:0:0) 	176.5 	0 	865 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.316061 	0.0281122 	0.02107 	0.0202589
Blazed 	2.6(0:0:0) 	176.5 	0 	870 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.315688 	0.0279311 	0.0208762 	0.0201654
Blazed 	2.6(0:0:0) 	176.5 	0 	875 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.315298 	0.027748 	0.0206822 	0.0200679
Blazed 	2.6(0:0:0) 	176.5 	0 	880 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.314892 	0.0275635 	0.0204882 	0.0199668
Blazed 	2.6(0:0:0) 	176.5 	0 	885 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.31446 	0.0273769 	0.0202939 	0.0198621
Blazed 	2.6(0:0:0) 	176.5 	0 	890 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.314023 	0.0271897 	0.0201004 	0.0197544
Blazed 	2.6(0:0:0) 	176.5 	0 	895 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.313562 	0.0270012 	0.0199073 	0.0196439
Blazed 	2.6(0:0:0) 	176.5 	0 	900 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.313104 	0.0268126 	0.0197152 	0.0195308
Blazed 	2.6(0:0:0) 	176.5 	0 	905 	SiO2.idx 	Pt.idx 	0.1 	na 	na 	4.05 	80 	  	0.312615 	0.0266227 	0.0195235 	0.0194155
