Mono	Sample	Tilt	Azimuth	Detector	X	Y	Z	Axis	Start	Stop	N
2.619	2	NaN	NaN	6.944	NaN	NaN	NaN	n	NaN	NaN	NaN
2.623	2	NaN	NaN	6.947	NaN	NaN	NaN	n	NaN	NaN	NaN
2.626	2	NaN	NaN	6.949	NaN	NaN	NaN	n	NaN	NaN	NaN
2.630	2	NaN	NaN	6.952	NaN	NaN	NaN	n	NaN	NaN	NaN
2.634	2	NaN	NaN	6.955	NaN	NaN	NaN	n	NaN	NaN	NaN
2.637	2	NaN	NaN	6.958	NaN	NaN	NaN	n	NaN	NaN	NaN
2.641	2	NaN	NaN	6.961	NaN	NaN	NaN	n	NaN	NaN	NaN
2.644	2	NaN	NaN	6.963	NaN	NaN	NaN	n	NaN	NaN	NaN
2.648	2	NaN	NaN	6.967	NaN	NaN	NaN	n	NaN	NaN	NaN
2.652	2	NaN	NaN	6.970	NaN	NaN	NaN	n	NaN	NaN	NaN
2.655	2	NaN	NaN	6.972	NaN	NaN	NaN	n	NaN	NaN	NaN
2.659	2	NaN	NaN	6.975	NaN	NaN	NaN	n	NaN	NaN	NaN
2.662	2	NaN	NaN	6.977	NaN	NaN	NaN	n	NaN	NaN	NaN
2.666	2	NaN	NaN	6.981	NaN	NaN	NaN	n	NaN	NaN	NaN
2.670	2	NaN	NaN	6.984	NaN	NaN	NaN	n	NaN	NaN	NaN
2.673	2	NaN	NaN	6.986	NaN	NaN	NaN	n	NaN	NaN	NaN
2.677	2	NaN	NaN	6.989	NaN	NaN	NaN	n	NaN	NaN	NaN
2.680	2	NaN	NaN	6.992	NaN	NaN	NaN	n	NaN	NaN	NaN
2.684	2	NaN	NaN	6.995	NaN	NaN	NaN	n	NaN	NaN	NaN
2.688	2	NaN	NaN	6.998	NaN	NaN	NaN	n	NaN	NaN	NaN
2.691	2	NaN	NaN	7.000	NaN	NaN	NaN	n	NaN	NaN	NaN
2.695	2	NaN	NaN	7.003	NaN	NaN	NaN	n	NaN	NaN	NaN
2.698	2	NaN	NaN	7.006	NaN	NaN	NaN	n	NaN	NaN	NaN
2.702	2	NaN	NaN	7.009	NaN	NaN	NaN	n	NaN	NaN	NaN
2.706	2	NaN	NaN	7.012	NaN	NaN	NaN	n	NaN	NaN	NaN
2.709	2	NaN	NaN	7.014	NaN	NaN	NaN	n	NaN	NaN	NaN
2.713	2	NaN	NaN	7.017	NaN	NaN	NaN	n	NaN	NaN	NaN
2.716	2	NaN	NaN	7.020	NaN	NaN	NaN	n	NaN	NaN	NaN
2.720	2	NaN	NaN	7.023	NaN	NaN	NaN	n	NaN	NaN	NaN
2.724	2	NaN	NaN	7.026	NaN	NaN	NaN	n	NaN	NaN	NaN
2.727	2	NaN	NaN	7.028	NaN	NaN	NaN	n	NaN	NaN	NaN
2.731	2	NaN	NaN	7.031	NaN	NaN	NaN	n	NaN	NaN	NaN
2.734	2	NaN	NaN	7.034	NaN	NaN	NaN	n	NaN	NaN	NaN
2.738	2	NaN	NaN	7.037	NaN	NaN	NaN	n	NaN	NaN	NaN
2.742	2	NaN	NaN	7.040	NaN	NaN	NaN	n	NaN	NaN	NaN
2.745	2	NaN	NaN	7.042	NaN	NaN	NaN	n	NaN	NaN	NaN
2.749	2	NaN	NaN	7.045	NaN	NaN	NaN	n	NaN	NaN	NaN
2.752	2	NaN	NaN	7.048	NaN	NaN	NaN	n	NaN	NaN	NaN
2.756	2	NaN	NaN	7.051	NaN	NaN	NaN	n	NaN	NaN	NaN
2.760	2	NaN	NaN	7.054	NaN	NaN	NaN	n	NaN	NaN	NaN
2.763	2	NaN	NaN	7.056	NaN	NaN	NaN	n	NaN	NaN	NaN
2.767	2	NaN	NaN	7.059	NaN	NaN	NaN	n	NaN	NaN	NaN
2.770	2	NaN	NaN	7.062	NaN	NaN	NaN	n	NaN	NaN	NaN
2.774	2	NaN	NaN	7.065	NaN	NaN	NaN	n	NaN	NaN	NaN
2.778	2	NaN	NaN	7.068	NaN	NaN	NaN	n	NaN	NaN	NaN
2.781	2	NaN	NaN	7.070	NaN	NaN	NaN	n	NaN	NaN	NaN
2.785	2	NaN	NaN	7.073	NaN	NaN	NaN	n	NaN	NaN	NaN
2.788	2	NaN	NaN	7.075	NaN	NaN	NaN	n	NaN	NaN	NaN
2.792	2	NaN	NaN	7.078	NaN	NaN	NaN	n	NaN	NaN	NaN
2.796	2	NaN	NaN	7.082	NaN	NaN	NaN	n	NaN	NaN	NaN
2.799	2	NaN	NaN	7.084	NaN	NaN	NaN	n	NaN	NaN	NaN
2.803	2	NaN	NaN	7.087	NaN	NaN	NaN	n	NaN	NaN	NaN
2.806	2	NaN	NaN	7.089	NaN	NaN	NaN	n	NaN	NaN	NaN
2.810	2	NaN	NaN	7.092	NaN	NaN	NaN	n	NaN	NaN	NaN
