Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		565 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.184056 	0.0345855 	0.00146107
Blazed 	1.2(0:0:0) 		176 		 0 		570 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.18511 	0.0357609 	0.00139774
Blazed 	1.2(0:0:0) 		176 		 0 		575 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.185896 	0.0368715 	0.00133212
Blazed 	1.2(0:0:0) 		176 		 0 		580 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.186649 	0.0379879 	0.00126688
Blazed 	1.2(0:0:0) 		176 		 0 		585 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.187262 	0.0390769 	0.00120235
Blazed 	1.2(0:0:0) 		176 		 0 		590 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.187832 	0.040166 	0.00113904
Blazed 	1.2(0:0:0) 		176 		 0 		595 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.188297 	0.0412344 	0.00107736
Blazed 	1.2(0:0:0) 		176 		 0 		600 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.188721 	0.042301 	0.00101766
Blazed 	1.2(0:0:0) 		176 		 0 		605 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.189079 	0.0433575 	0.000960333
Blazed 	1.2(0:0:0) 		176 		 0 		610 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.189406 	0.0444129 	0.000905578
Blazed 	1.2(0:0:0) 		176 		 0 		615 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.189691 	0.0454645 	0.000853697
Blazed 	1.2(0:0:0) 		176 		 0 		620 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.189965 	0.0465214 	0.000804856
Blazed 	1.2(0:0:0) 		176 		 0 		625 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.19023 	0.0475844 	0.000759278
Blazed 	1.2(0:0:0) 		176 		 0 		630 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.190493 	0.0486542 	0.000717117
Blazed 	1.2(0:0:0) 		176 		 0 		635 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.190761 	0.0497324 	0.000678621
Blazed 	1.2(0:0:0) 		176 		 0 		640 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.191016 	0.0508107 	0.000644087
Blazed 	1.2(0:0:0) 		176 		 0 		645 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.191258 	0.0518883 	0.000613807
Blazed 	1.2(0:0:0) 		176 		 0 		650 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.191444 	0.052948 	0.000588136
Blazed 	1.2(0:0:0) 		176 		 0 		655 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.191537 	0.053972 	0.000567408
Blazed 	1.2(0:0:0) 		176 		 0 		660 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.191583 	0.0549793 	0.000551715
Blazed 	1.2(0:0:0) 		176 		 0 		665 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.191519 	0.0559437 	0.000541199
Blazed 	1.2(0:0:0) 		176 		 0 		670 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.191422 	0.0568934 	0.000535993
Blazed 	1.2(0:0:0) 		176 		 0 		675 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.191192 	0.0577924 	0.000535827
Blazed 	1.2(0:0:0) 		176 		 0 		680 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.190943 	0.0586776 	0.000541152
Blazed 	1.2(0:0:0) 		176 		 0 		685 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.190621 	0.0595375 	0.0005513
Blazed 	1.2(0:0:0) 		176 		 0 		690 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.190276 	0.0603807 	0.000566974
Blazed 	1.2(0:0:0) 		176 		 0 		695 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.18987 	0.0611983 	0.000587592
Blazed 	1.2(0:0:0) 		176 		 0 		700 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.189429 	0.0619945 	0.000613559
Blazed 	1.2(0:0:0) 		176 		 0 		705 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.188935 	0.0627679 	0.00064427
Blazed 	1.2(0:0:0) 		176 		 0 		710 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.18839 	0.0635177 	0.000679641
Blazed 	1.2(0:0:0) 		176 		 0 		715 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.187842 	0.0642628 	0.000720103
Blazed 	1.2(0:0:0) 		176 		 0 		720 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.187341 	0.0650382 	0.00076503
Blazed 	1.2(0:0:0) 		176 		 0 		725 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.186816 	0.0657938 	0.000815386
Blazed 	1.2(0:0:0) 		176 		 0 		730 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.186367 	0.0665908 	0.000870883
Blazed 	1.2(0:0:0) 		176 		 0 		735 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.185902 	0.0673733 	0.000931931
Blazed 	1.2(0:0:0) 		176 		 0 		740 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.185468 	0.068171 	0.000998414
Blazed 	1.2(0:0:0) 		176 		 0 		745 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.185048 	0.0689743 	0.00107048
Blazed 	1.2(0:0:0) 		176 		 0 		750 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.184634 	0.0697752 	0.0011483
Blazed 	1.2(0:0:0) 		176 		 0 		755 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.184284 	0.070615 	0.00123207
Blazed 	1.2(0:0:0) 		176 		 0 		760 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.183919 	0.0714397 	0.00132179
Blazed 	1.2(0:0:0) 		176 		 0 		765 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.183675 	0.0723319 	0.0014189
Blazed 	1.2(0:0:0) 		176 		 0 		770 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.183455 	0.0732344 	0.00152279
Blazed 	1.2(0:0:0) 		176 		 0 		775 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.183283 	0.0741536 	0.00163443
Blazed 	1.2(0:0:0) 		176 		 0 		780 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.18322 	0.0751216 	0.00175556
Blazed 	1.2(0:0:0) 		176 		 0 		785 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.183154 	0.0760822 	0.0018839
Blazed 	1.2(0:0:0) 		176 		 0 		790 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.183013 	0.0769756 	0.00201881
Blazed 	1.2(0:0:0) 		176 		 0 		795 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.182854 	0.0778458 	0.00216061
Blazed 	1.2(0:0:0) 		176 		 0 		800 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.182659 	0.0786866 	0.00230835
Blazed 	1.2(0:0:0) 		176 		 0 		805 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.182373 	0.0794677 	0.00246002
Blazed 	1.2(0:0:0) 		176 		 0 		810 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.182083 	0.0802335 	0.00261814
Blazed 	1.2(0:0:0) 		176 		 0 		815 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181742 	0.0809643 	0.00278063
Blazed 	1.2(0:0:0) 		176 		 0 		820 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181376 	0.0816694 	0.00294832
Blazed 	1.2(0:0:0) 		176 		 0 		825 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.181004 	0.0823555 	0.00312175
Blazed 	1.2(0:0:0) 		176 		 0 		830 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.180585 	0.0830125 	0.00329879
Blazed 	1.2(0:0:0) 		176 		 0 		835 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.180163 	0.0836496 	0.00348132
Blazed 	1.2(0:0:0) 		176 		 0 		840 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.179724 	0.084266 	0.0036685
Blazed 	1.2(0:0:0) 		176 		 0 		845 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.179264 	0.0848608 	0.00385978
Blazed 	1.2(0:0:0) 		176 		 0 		850 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.178801 	0.0854341 	0.00405603
Blazed 	1.2(0:0:0) 		176 		 0 		855 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.178318 	0.085988 	0.00425603
Blazed 	1.2(0:0:0) 		176 		 0 		860 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.177824 	0.0865208 	0.00446014
Blazed 	1.2(0:0:0) 		176 		 0 		865 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.177328 	0.0870305 	0.00466863
Blazed 	1.2(0:0:0) 		176 		 0 		870 	SiO2.idx 	Pt.idx 			.1 	na 	na 	1.25 	90 	  	0.176804 	0.0875195 	0.00487979
