Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Rectangular 	1.2(0:0:0) 		176 		 0 		375 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.444748 	0.0762108 	0.00642977 	0.00432959
Rectangular 	1.2(0:0:0) 		176 		 0 		380 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.441766 	0.0768759 	0.00658168 	0.00439563
Rectangular 	1.2(0:0:0) 		176 		 0 		385 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.439119 	0.0776044 	0.00674917 	0.00447168
Rectangular 	1.2(0:0:0) 		176 		 0 		390 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.436848 	0.0784066 	0.00693417 	0.00455932
Rectangular 	1.2(0:0:0) 		176 		 0 		395 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.434947 	0.0792767 	0.00713455 	0.0046583
Rectangular 	1.2(0:0:0) 		176 		 0 		400 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.433396 	0.0801902 	0.00734055 	0.00476557
Rectangular 	1.2(0:0:0) 		176 		 0 		405 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.431488 	0.0809633 	0.00751781 	0.00485921
Rectangular 	1.2(0:0:0) 		176 		 0 		410 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.429389 	0.0816551 	0.00768069 	0.00494576
Rectangular 	1.2(0:0:0) 		176 		 0 		415 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.427154 	0.0822819 	0.00783258 	0.00502684
Rectangular 	1.2(0:0:0) 		176 		 0 		420 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.424824 	0.082856 	0.00797582 	0.00510363
Rectangular 	1.2(0:0:0) 		176 		 0 		425 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.4224 	0.0833788 	0.00811084 	0.00517615
Rectangular 	1.2(0:0:0) 		176 		 0 		430 	SiO2.idx 	Pt.idx 			0.1 	0.0096 	0.41666666666667 	na 	na 	  	0.419957 	0.0838704 	0.00824126 	0.00524662
