Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		590 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.170015 	0.0315386 	error
Blazed 	1.2(0:0:0) 		176 		 0 		595 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.170038 	0.0323653 	error
Blazed 	1.2(0:0:0) 		176 		 0 		600 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.170042 	0.0331954 	error
Blazed 	1.2(0:0:0) 		176 		 0 		605 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.170033 	0.0340308 	error
Blazed 	1.2(0:0:0) 		176 		 0 		610 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.17001 	0.0348703 	error
Blazed 	1.2(0:0:0) 		176 		 0 		615 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169978 	0.0357153 	error
Blazed 	1.2(0:0:0) 		176 		 0 		620 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169936 	0.0365653 	error
Blazed 	1.2(0:0:0) 		176 		 0 		625 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169888 	0.0374216 	error
Blazed 	1.2(0:0:0) 		176 		 0 		630 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169838 	0.0382847 	error
Blazed 	1.2(0:0:0) 		176 		 0 		635 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.16979 	0.0391567 	error
Blazed 	1.2(0:0:0) 		176 		 0 		640 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169756 	0.0400411 	error
Blazed 	1.2(0:0:0) 		176 		 0 		645 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.16975 	0.0409445 	error
Blazed 	1.2(0:0:0) 		176 		 0 		650 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169777 	0.0418663 	error
Blazed 	1.2(0:0:0) 		176 		 0 		655 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.16988 	0.0428237 	error
Blazed 	1.2(0:0:0) 		176 		 0 		660 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169957 	0.0437775 	error
Blazed 	1.2(0:0:0) 		176 		 0 		665 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169978 	0.0447134 	error
Blazed 	1.2(0:0:0) 		176 		 0 		670 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169977 	0.0456446 	error
Blazed 	1.2(0:0:0) 		176 		 0 		675 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169872 	0.0465389 	error
Blazed 	1.2(0:0:0) 		176 		 0 		680 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169755 	0.0474295 	error
Blazed 	1.2(0:0:0) 		176 		 0 		685 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169594 	0.0483063 	error
Blazed 	1.2(0:0:0) 		176 		 0 		690 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169419 	0.0491772 	error
Blazed 	1.2(0:0:0) 		176 		 0 		695 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.169215 	0.0500382 	error
Blazed 	1.2(0:0:0) 		176 		 0 		700 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.168993 	0.050891 	error
Blazed 	1.2(0:0:0) 		176 		 0 		705 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.168752 	0.0517356 	error
Blazed 	1.2(0:0:0) 		176 		 0 		710 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.168492 	0.0525713 	error
Blazed 	1.2(0:0:0) 		176 		 0 		715 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.168216 	0.0533973 	error
Blazed 	1.2(0:0:0) 		176 		 0 		720 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.167916 	0.0542122 	error
Blazed 	1.2(0:0:0) 		176 		 0 		725 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.167604 	0.0550163 	error
Blazed 	1.2(0:0:0) 		176 		 0 		730 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.167275 	0.0558154 	error
Blazed 	1.2(0:0:0) 		176 		 0 		735 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.166935 	0.056603 	error
Blazed 	1.2(0:0:0) 		176 		 0 		740 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.16659 	0.0573871 	error
Blazed 	1.2(0:0:0) 		176 		 0 		745 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.166239 	0.0581649 	error
Blazed 	1.2(0:0:0) 		176 		 0 		750 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.16588 	0.0589327 	error
Blazed 	1.2(0:0:0) 		176 		 0 		755 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.165518 	0.0596994 	error
Blazed 	1.2(0:0:0) 		176 		 0 		760 	SiO2.idx 	Au.idx 			0.1 	na 	na 	1.25 	90 	  	0.165147 	0.0604525 	error
