Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		380 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0715252 	0.00376279 	0.00052219
Blazed 	1.2(0:0:0) 		176 		 0 		385 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0717767 	0.0038859 	0.00047008
Blazed 	1.2(0:0:0) 		176 		 0 		390 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0721368 	0.00397928 	0.000438964
Blazed 	1.2(0:0:0) 		176 		 0 		395 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.072545 	0.00401007 	0.000435534
Blazed 	1.2(0:0:0) 		176 		 0 		400 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0731942 	0.00399232 	0.000461824
Blazed 	1.2(0:0:0) 		176 		 0 		405 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0738561 	0.00390258 	0.000507265
Blazed 	1.2(0:0:0) 		176 		 0 		410 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0745526 	0.0037708 	0.000558661
Blazed 	1.2(0:0:0) 		176 		 0 		415 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0751037 	0.00359777 	0.000601802
Blazed 	1.2(0:0:0) 		176 		 0 		420 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0751691 	0.00336937 	0.000621205
Blazed 	1.2(0:0:0) 		176 		 0 		425 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0751327 	0.00319462 	0.000611457
Blazed 	1.2(0:0:0) 		176 		 0 		430 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0748229 	0.00306423 	0.000571637
Blazed 	1.2(0:0:0) 		176 		 0 		435 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0742709 	0.00299798 	0.000506601
Blazed 	1.2(0:0:0) 		176 		 0 		440 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0735766 	0.00300895 	0.000427144
Blazed 	1.2(0:0:0) 		176 		 0 		445 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0729221 	0.00309465 	0.000348365
Blazed 	1.2(0:0:0) 		176 		 0 		450 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0724509 	0.00323796 	0.000284099
Blazed 	1.2(0:0:0) 		176 		 0 		455 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0723022 	0.00340716 	0.000245849
Blazed 	1.2(0:0:0) 		176 		 0 		460 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0725667 	0.00356172 	0.000239142
Blazed 	1.2(0:0:0) 		176 		 0 		465 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0733205 	0.00367169 	0.000262015
Blazed 	1.2(0:0:0) 		176 		 0 		470 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.074475 	0.00371671 	0.000305246
Blazed 	1.2(0:0:0) 		176 		 0 		475 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0755817 	0.00362078 	0.000359779
Blazed 	1.2(0:0:0) 		176 		 0 		480 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0766405 	0.00341736 	0.000410476
Blazed 	1.2(0:0:0) 		176 		 0 		485 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0774914 	0.00314223 	0.000445253
Blazed 	1.2(0:0:0) 		176 		 0 		490 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0775252 	0.00275049 	0.000453575
Blazed 	1.2(0:0:0) 		176 		 0 		495 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.076777 	0.00233745 	0.000429964
Blazed 	1.2(0:0:0) 		176 		 0 		500 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.075329 	0.00197602 	0.000377681
Blazed 	1.2(0:0:0) 		176 		 0 		505 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0733204 	0.00172042 	0.000305659
Blazed 	1.2(0:0:0) 		176 		 0 		510 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0710961 	0.00160046 	0.000228704
Blazed 	1.2(0:0:0) 		176 		 0 		515 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0690667 	0.00161449 	0.000162404
Blazed 	1.2(0:0:0) 		176 		 0 		520 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0671551 	0.0017218 	0.00011471
Blazed 	1.2(0:0:0) 		176 		 0 		525 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0656029 	0.00186191 	9.76281E-05
Blazed 	1.2(0:0:0) 		176 		 0 		530 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0638334 	0.00189105 	0.000118317
Blazed 	1.2(0:0:0) 		176 		 0 		535 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0606134 	0.00158333 	0.000168899
Blazed 	1.2(0:0:0) 		176 		 0 		540 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0227679 	2.32679E-05 	7.04615E-05
