Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Sinusoidal 	1.2(0:0:0) 		176 		 0 		460 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.35679 	0.107476 	0.0495325 	0.0175365
Sinusoidal 	1.2(0:0:0) 		176 		 0 		465 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.353368 	0.10772 	0.0501745 	0.0179581
Sinusoidal 	1.2(0:0:0) 		176 		 0 		470 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.349944 	0.107915 	0.0507883 	0.0183726
Sinusoidal 	1.2(0:0:0) 		176 		 0 		475 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.346473 	0.108041 	0.0513649 	0.0187771
Sinusoidal 	1.2(0:0:0) 		176 		 0 		480 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.343015 	0.108127 	0.0519169 	0.0191754
Sinusoidal 	1.2(0:0:0) 		176 		 0 		485 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.339559 	0.108169 	0.0524414 	0.0195661
Sinusoidal 	1.2(0:0:0) 		176 		 0 		490 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.336075 	0.10815 	0.0529298 	0.019946
Sinusoidal 	1.2(0:0:0) 		176 		 0 		495 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.332601 	0.108088 	0.0533886 	0.0203163
Sinusoidal 	1.2(0:0:0) 		176 		 0 		500 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.329107 	0.107968 	0.0538095 	0.0206737
Sinusoidal 	1.2(0:0:0) 		176 		 0 		505 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.325573 	0.107775 	0.0541806 	0.0210124
Sinusoidal 	1.2(0:0:0) 		176 		 0 		510 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.322021 	0.107518 	0.0545055 	0.0213326
Sinusoidal 	1.2(0:0:0) 		176 		 0 		515 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.31821 	0.107052 	0.0546936 	0.0215958
Sinusoidal 	1.2(0:0:0) 		176 		 0 		520 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.314292 	0.106482 	0.0548167 	0.0218341
Sinusoidal 	1.2(0:0:0) 		176 		 0 		525 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.310217 	0.105783 	0.0548628 	0.0220434
Sinusoidal 	1.2(0:0:0) 		176 		 0 		530 	SiO2.idx 	Pt.idx 			0.1 	0.0137 	na 	na 	na 	  	0.305965 	0.104995 	0.0548857 	0.0222568
