Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		390 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0720981 	0.00381182 	0.000496131
Blazed 	1.2(0:0:0) 		176 		 0 		395 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0723121 	0.00388916 	0.000447699
Blazed 	1.2(0:0:0) 		176 		 0 		400 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0727712 	0.00394792 	0.000421905
Blazed 	1.2(0:0:0) 		176 		 0 		405 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0732735 	0.00395545 	0.000419729
Blazed 	1.2(0:0:0) 		176 		 0 		410 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0738876 	0.00391982 	0.000441768
Blazed 	1.2(0:0:0) 		176 		 0 		415 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0744666 	0.00382661 	0.000481407
Blazed 	1.2(0:0:0) 		176 		 0 		420 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0747259 	0.00364359 	0.000528671
Blazed 	1.2(0:0:0) 		176 		 0 		425 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0749969 	0.00346281 	0.000569379
Blazed 	1.2(0:0:0) 		176 		 0 		430 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0750878 	0.00327671 	0.000592596
Blazed 	1.2(0:0:0) 		176 		 0 		435 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.074972 	0.00310986 	0.00058914
Blazed 	1.2(0:0:0) 		176 		 0 		440 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0746575 	0.00298999 	0.000554311
Blazed 	1.2(0:0:0) 		176 		 0 		445 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0742412 	0.00293713 	0.000492265
Blazed 	1.2(0:0:0) 		176 		 0 		450 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0737853 	0.00295789 	0.000411643
Blazed 	1.2(0:0:0) 		176 		 0 		455 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0733756 	0.00304476 	0.000326677
Blazed 	1.2(0:0:0) 		176 		 0 		460 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0731113 	0.00317499 	0.000254136
Blazed 	1.2(0:0:0) 		176 		 0 		465 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0731667 	0.00332202 	0.000209256
Blazed 	1.2(0:0:0) 		176 		 0 		470 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0735715 	0.00345764 	0.000197539
Blazed 	1.2(0:0:0) 		176 		 0 		475 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0739165 	0.00351614 	0.00021907
Blazed 	1.2(0:0:0) 		176 		 0 		480 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0744665 	0.00349394 	0.000270266
Blazed 	1.2(0:0:0) 		176 		 0 		485 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0751754 	0.00339318 	0.000336973
Blazed 	1.2(0:0:0) 		176 		 0 		490 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0755585 	0.00315062 	0.000406467
Blazed 	1.2(0:0:0) 		176 		 0 		495 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0756534 	0.00281399 	0.000458072
Blazed 	1.2(0:0:0) 		176 		 0 		500 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0753851 	0.00243254 	0.000476063
Blazed 	1.2(0:0:0) 		176 		 0 		505 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0746316 	0.00205807 	0.000451565
Blazed 	1.2(0:0:0) 		176 		 0 		510 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0734352 	0.00174488 	0.000387997
Blazed 	1.2(0:0:0) 		176 		 0 		515 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0719391 	0.0015334 	0.000299113
Blazed 	1.2(0:0:0) 		176 		 0 		520 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.069858 	0.00141901 	0.000196235
Blazed 	1.2(0:0:0) 		176 		 0 		525 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.067258 	0.0014059 	0.000104549
Blazed 	1.2(0:0:0) 		176 		 0 		530 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0635031 	0.00143424 	5.16679E-05
Blazed 	1.2(0:0:0) 		176 		 0 		535 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0583405 	0.00135319 	7.62375E-05
Blazed 	1.2(0:0:0) 		176 		 0 		540 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0229641 	7.77247E-05 	0.000127573
Blazed 	1.2(0:0:0) 		176 		 0 		545 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0214 	0.000352296 	0.000104178
Blazed 	1.2(0:0:0) 		176 		 0 		550 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0368908 	0.000825657 	0.000167213
Blazed 	1.2(0:0:0) 		176 		 0 		555 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0467679 	0.00128943 	0.000208082
Blazed 	1.2(0:0:0) 		176 		 0 		560 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0504773 	0.00149221 	0.000227246
Blazed 	1.2(0:0:0) 		176 		 0 		565 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0528339 	0.0016271 	0.000241924
Blazed 	1.2(0:0:0) 		176 		 0 		570 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.054875 	0.00174594 	0.000255652
Blazed 	1.2(0:0:0) 		176 		 0 		575 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0565774 	0.00184492 	0.000268073
Blazed 	1.2(0:0:0) 		176 		 0 		580 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0582325 	0.00194012 	0.000280066
Blazed 	1.2(0:0:0) 		176 		 0 		585 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0591731 	0.00198424 	0.000287892
Blazed 	1.2(0:0:0) 		176 		 0 		590 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0601378 	0.00202637 	0.000294536
Blazed 	1.2(0:0:0) 		176 		 0 		595 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0611009 	0.00206725 	0.000299745
Blazed 	1.2(0:0:0) 		176 		 0 		600 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0620962 	0.00210648 	0.000303494
Blazed 	1.2(0:0:0) 		176 		 0 		605 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0631241 	0.0021447 	0.000305798
Blazed 	1.2(0:0:0) 		176 		 0 		610 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.063973 	0.0021681 	0.000305216
Blazed 	1.2(0:0:0) 		176 		 0 		615 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0645316 	0.0021713 	0.000301108
Blazed 	1.2(0:0:0) 		176 		 0 		620 	Au.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0650816 	0.00217608 	0.00029609
