Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		325 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.377939 	0.152949 	0.0262789 	0.00160795
Blazed 	1.2(0:0:0) 		176 		 0 		330 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.373094 	0.153566 	0.0276136 	0.00150966
Blazed 	1.2(0:0:0) 		176 		 0 		335 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.368352 	0.154156 	0.0289732 	0.00141018
Blazed 	1.2(0:0:0) 		176 		 0 		340 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.363713 	0.154719 	0.0303569 	0.00131017
Blazed 	1.2(0:0:0) 		176 		 0 		345 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.359175 	0.155259 	0.0317647 	0.00121038
Blazed 	1.2(0:0:0) 		176 		 0 		350 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.354742 	0.15578 	0.0331975 	0.00111156
Blazed 	1.2(0:0:0) 		176 		 0 		355 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.350418 	0.156287 	0.0346559 	0.00101444
Blazed 	1.2(0:0:0) 		176 		 0 		360 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.346206 	0.156786 	0.036141 	0.000919779
Blazed 	1.2(0:0:0) 		176 		 0 		365 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.342109 	0.157282 	0.0376547 	0.000828327
Blazed 	1.2(0:0:0) 		176 		 0 		370 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.338134 	0.157785 	0.0391996 	0.000740848
Blazed 	1.2(0:0:0) 		176 		 0 		375 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.334308 	0.158321 	0.0407864 	0.000658102
Blazed 	1.2(0:0:0) 		176 		 0 		380 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.330667 	0.15892 	0.0424274 	0.000580784
Blazed 	1.2(0:0:0) 		176 		 0 		385 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.327306 	0.159639 	0.0441436 	0.000509479
Blazed 	1.2(0:0:0) 		176 		 0 		390 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.324261 	0.160491 	0.045942 	0.000445023
Blazed 	1.2(0:0:0) 		176 		 0 		395 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.32154 	0.161449 	0.0478096 	0.000388583
Blazed 	1.2(0:0:0) 		176 		 0 		400 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.319174 	0.16242 	0.0496903 	0.000342026
Blazed 	1.2(0:0:0) 		176 		 0 		405 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.316585 	0.163067 	0.0514495 	0.000307727
Blazed 	1.2(0:0:0) 		176 		 0 		410 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.313873 	0.163537 	0.053151 	0.00028629
Blazed 	1.2(0:0:0) 		176 		 0 		415 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.311075 	0.16387 	0.0548078 	0.00027838
Blazed 	1.2(0:0:0) 		176 		 0 		420 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.308222 	0.164092 	0.0564281 	0.000284604
Blazed 	1.2(0:0:0) 		176 		 0 		425 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.305312 	0.164212 	0.0580133 	0.000305417
Blazed 	1.2(0:0:0) 		176 		 0 		430 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.302406 	0.164267 	0.0595757 	0.00034143
Blazed 	1.2(0:0:0) 		176 		 0 		435 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.299508 	0.164263 	0.061115 	0.000393151
Blazed 	1.2(0:0:0) 		176 		 0 		440 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.296607 	0.164198 	0.0626301 	0.000460886
Blazed 	1.2(0:0:0) 		176 		 0 		445 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.293755 	0.164115 	0.064141 	0.000545218
Blazed 	1.2(0:0:0) 		176 		 0 		450 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.290952 	0.163998 	0.0656329 	0.00064678
Blazed 	1.2(0:0:0) 		176 		 0 		455 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.288191 	0.163834 	0.0670967 	0.000765938
Blazed 	1.2(0:0:0) 		176 		 0 		460 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.285432 	0.163605 	0.0685215 	0.000902535
Blazed 	1.2(0:0:0) 		176 		 0 		465 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.282693 	0.163318 	0.0699075 	0.0010568
Blazed 	1.2(0:0:0) 		176 		 0 		470 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.279963 	0.162969 	0.0712493 	0.0012286
Blazed 	1.2(0:0:0) 		176 		 0 		475 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.277187 	0.162538 	0.072539 	0.00141694
Blazed 	1.2(0:0:0) 		176 		 0 		480 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.274433 	0.162058 	0.0737883 	0.0016225
Blazed 	1.2(0:0:0) 		176 		 0 		485 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.271687 	0.161525 	0.0749936 	0.00184483
Blazed 	1.2(0:0:0) 		176 		 0 		490 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.268911 	0.160922 	0.0761455 	0.00208285
Blazed 	1.2(0:0:0) 		176 		 0 		495 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.266153 	0.160268 	0.0772483 	0.00233686
Blazed 	1.2(0:0:0) 		176 		 0 		500 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.263377 	0.159547 	0.0782926 	0.00260552
Blazed 	1.2(0:0:0) 		176 		 0 		505 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.260561 	0.158739 	0.0792615 	0.00288729
Blazed 	1.2(0:0:0) 		176 		 0 		510 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.257734 	0.157855 	0.0801566 	0.00318169
Blazed 	1.2(0:0:0) 		176 		 0 		515 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.254636 	0.156713 	0.0808639 	0.00347855
Blazed 	1.2(0:0:0) 		176 		 0 		520 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.25141 	0.155459 	0.081483 	0.00378166
Blazed 	1.2(0:0:0) 		176 		 0 		525 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.247992 	0.154066 	0.0820031 	0.0040878
Blazed 	1.2(0:0:0) 		176 		 0 		530 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.244305 	0.152613 	0.082528 	0.00439907
Blazed 	1.2(0:0:0) 		176 		 0 		535 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.240568 	0.151142 	0.0830402 	0.00471886
Blazed 	1.2(0:0:0) 		176 		 0 		540 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.237143 	0.150085 	0.0838962 	0.00507669
Blazed 	1.2(0:0:0) 		176 		 0 		545 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.233932 	0.149179 	0.0848553 	0.00546027
Blazed 	1.2(0:0:0) 		176 		 0 		550 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.231123 	0.148619 	0.0860762 	0.00588749
Blazed 	1.2(0:0:0) 		176 		 0 		555 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.228859 	0.148344 	0.0874493 	0.00635783
Blazed 	1.2(0:0:0) 		176 		 0 		560 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.227016 	0.148289 	0.0889429 	0.0068695
Blazed 	1.2(0:0:0) 		176 		 0 		565 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.225343 	0.148232 	0.0903858 	0.00740397
Blazed 	1.2(0:0:0) 		176 		 0 		570 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.223757 	0.148175 	0.09181 	0.00796205
Blazed 	1.2(0:0:0) 		176 		 0 		575 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.22212 	0.147927 	0.0930281 	0.00852031
Blazed 	1.2(0:0:0) 		176 		 0 		580 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.220522 	0.147661 	0.0942134 	0.00909653
Blazed 	1.2(0:0:0) 		176 		 0 		585 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.218854 	0.147289 	0.0952968 	0.00967933
Blazed 	1.2(0:0:0) 		176 		 0 		590 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.217211 	0.146892 	0.0963405 	0.0102768
Blazed 	1.2(0:0:0) 		176 		 0 		595 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.215524 	0.146419 	0.0973033 	0.010881
Blazed 	1.2(0:0:0) 		176 		 0 		600 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.213854 	0.145922 	0.0982275 	0.0114976
Blazed 	1.2(0:0:0) 		176 		 0 		605 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.212164 	0.14538 	0.0990988 	0.0121231
Blazed 	1.2(0:0:0) 		176 		 0 		610 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.210493 	0.144821 	0.0999368 	0.0127601
Blazed 	1.2(0:0:0) 		176 		 0 		615 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.208821 	0.144237 	0.100738 	0.0134069
Blazed 	1.2(0:0:0) 		176 		 0 		620 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.207182 	0.143654 	0.10152 	0.0140669
Blazed 	1.2(0:0:0) 		176 		 0 		625 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.205567 	0.14307 	0.102287 	0.0147398
Blazed 	1.2(0:0:0) 		176 		 0 		630 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.20401 	0.142497 	0.103038 	0.015426
Blazed 	1.2(0:0:0) 		176 		 0 		635 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.202513 	0.141938 	0.103778 	0.0161258
Blazed 	1.2(0:0:0) 		176 		 0 		640 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.201074 	0.141384 	0.104489 	0.0168355
Blazed 	1.2(0:0:0) 		176 		 0 		645 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.199694 	0.140833 	0.105173 	0.0175543
Blazed 	1.2(0:0:0) 		176 		 0 		650 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.198336 	0.140256 	0.105798 	0.018274
Blazed 	1.2(0:0:0) 		176 		 0 		655 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.196969 	0.139621 	0.106337 	0.0189857
Blazed 	1.2(0:0:0) 		176 		 0 		660 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.195621 	0.138967 	0.106826 	0.0196969
Blazed 	1.2(0:0:0) 		176 		 0 		665 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.194214 	0.138238 	0.107223 	0.0203946
Blazed 	1.2(0:0:0) 		176 		 0 		670 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.192839 	0.1375 	0.107579 	0.021091
Blazed 	1.2(0:0:0) 		176 		 0 		675 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.191343 	0.136666 	0.107838 	0.0217684
Blazed 	1.2(0:0:0) 		176 		 0 		680 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.189899 	0.135836 	0.108061 	0.0224431
Blazed 	1.2(0:0:0) 		176 		 0 		685 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.18837 	0.134953 	0.108235 	0.0231096
Blazed 	1.2(0:0:0) 		176 		 0 		690 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.186884 	0.13407 	0.108371 	0.0237708
Blazed 	1.2(0:0:0) 		176 		 0 		695 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.185345 	0.133149 	0.10846 	0.0244223
Blazed 	1.2(0:0:0) 		176 		 0 		700 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.183818 	0.132216 	0.108508 	0.0250654
Blazed 	1.2(0:0:0) 		176 		 0 		705 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.182238 	0.131249 	0.108517 	0.0256993
Blazed 	1.2(0:0:0) 		176 		 0 		710 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.180608 	0.130251 	0.108485 	0.0263232
Blazed 	1.2(0:0:0) 		176 		 0 		715 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.179 	0.129263 	0.108443 	0.026946
Blazed 	1.2(0:0:0) 		176 		 0 		720 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.17738 	0.128304 	0.108444 	0.027587
Blazed 	1.2(0:0:0) 		176 		 0 		725 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.175794 	0.127346 	0.108411 	0.0282184
Blazed 	1.2(0:0:0) 		176 		 0 		730 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.174251 	0.126443 	0.108434 	0.0288738
Blazed 	1.2(0:0:0) 		176 		 0 		735 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.172742 	0.125545 	0.10843 	0.0295222
Blazed 	1.2(0:0:0) 		176 		 0 		740 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.171266 	0.124675 	0.108444 	0.0301803
Blazed 	1.2(0:0:0) 		176 		 0 		745 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.169822 	0.123825 	0.10846 	0.0308425
Blazed 	1.2(0:0:0) 		176 		 0 		750 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.67 	60 	  	0.168415 	0.12299 	0.108468 	0.0315042
