Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		515 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0721057 	0.00149036 	0.000313307
Blazed 	1.2(0:0:0) 		176 		 0 		520 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0699429 	0.00137392 	0.000200231
Blazed 	1.2(0:0:0) 		176 		 0 		525 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0672452 	0.00137021 	0.000100461
Blazed 	1.2(0:0:0) 		176 		 0 		530 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0633934 	0.00141848 	4.36354E-05
Blazed 	1.2(0:0:0) 		176 		 0 		535 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.058182 	0.0013637 	7.10138E-05
Blazed 	1.2(0:0:0) 		176 		 0 		540 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0229612 	8.35772E-05 	0.000138329
Blazed 	1.2(0:0:0) 		176 		 0 		545 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0214034 	0.000351259 	0.000105199
Blazed 	1.2(0:0:0) 		176 		 0 		550 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0368878 	0.000827734 	0.000168201
Blazed 	1.2(0:0:0) 		176 		 0 		555 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0467593 	0.00129267 	0.000208286
Blazed 	1.2(0:0:0) 		176 		 0 		560 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0504667 	0.00149607 	0.000227594
Blazed 	1.2(0:0:0) 		176 		 0 		565 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0528215 	0.00163175 	0.000242778
Blazed 	1.2(0:0:0) 		176 		 0 		570 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0548607 	0.00175152 	0.000257169
Blazed 	1.2(0:0:0) 		176 		 0 		575 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0565618 	0.00185137 	0.000270334
Blazed 	1.2(0:0:0) 		176 		 0 		580 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0582158 	0.00194738 	0.000283062
Blazed 	1.2(0:0:0) 		176 		 0 		585 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0591568 	0.00199182 	0.000291564
Blazed 	1.2(0:0:0) 		176 		 0 		590 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0601228 	0.0020338 	0.000298641
Blazed 	1.2(0:0:0) 		176 		 0 		595 	Pt.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0610886 	0.00207392 	0.000303955
