Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder0 	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		630 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.234082 	0.169899 	0.0816846 	0.00268861
Blazed 	1.2(0:0:0) 		176 		 0 		635 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.232423 	0.169652 	0.0828022 	0.00293013
Blazed 	1.2(0:0:0) 		176 		 0 		640 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.230822 	0.1694 	0.083903 	0.0031846
Blazed 	1.2(0:0:0) 		176 		 0 		645 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.229279 	0.169142 	0.084986 	0.00345201
Blazed 	1.2(0:0:0) 		176 		 0 		650 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.227755 	0.168843 	0.0860255 	0.00373049
Blazed 	1.2(0:0:0) 		176 		 0 		655 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.226215 	0.168466 	0.0869954 	0.00401782
Blazed 	1.2(0:0:0) 		176 		 0 		660 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.224691 	0.168056 	0.0879264 	0.00431527
Blazed 	1.2(0:0:0) 		176 		 0 		665 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.223101 	0.167551 	0.0887815 	0.00461872
Blazed 	1.2(0:0:0) 		176 		 0 		670 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.221541 	0.167025 	0.0896029 	0.0049316
Blazed 	1.2(0:0:0) 		176 		 0 		675 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.219851 	0.166382 	0.0903416 	0.00524708
Blazed 	1.2(0:0:0) 		176 		 0 		680 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.218214 	0.165732 	0.0910496 	0.00557132
Blazed 	1.2(0:0:0) 		176 		 0 		685 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.216487 	0.165018 	0.091715 	0.00589999
Blazed 	1.2(0:0:0) 		176 		 0 		690 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.214802 	0.164292 	0.0923472 	0.00623607
Blazed 	1.2(0:0:0) 		176 		 0 		695 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.213062 	0.163516 	0.0929369 	0.00657625
Blazed 	1.2(0:0:0) 		176 		 0 		700 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.211334 	0.162716 	0.0934891 	0.00692181
Blazed 	1.2(0:0:0) 		176 		 0 		705 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.20955 	0.161873 	0.0940047 	0.00727082
Blazed 	1.2(0:0:0) 		176 		 0 		710 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.207714 	0.160987 	0.094483 	0.00762279
Blazed 	1.2(0:0:0) 		176 		 0 		715 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.205901 	0.160106 	0.0949497 	0.00798136
Blazed 	1.2(0:0:0) 		176 		 0 		720 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.204081 	0.159262 	0.095456 	0.00835101
Blazed 	1.2(0:0:0) 		176 		 0 		725 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.202296 	0.158408 	0.0959285 	0.00872531
Blazed 	1.2(0:0:0) 		176 		 0 		730 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.200558 	0.157619 	0.0964536 	0.00911389
Blazed 	1.2(0:0:0) 		176 		 0 		735 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.198856 	0.156825 	0.0969524 	0.00950791
Blazed 	1.2(0:0:0) 		176 		 0 		740 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.197189 	0.156061 	0.0974666 	0.00991218
Blazed 	1.2(0:0:0) 		176 		 0 		745 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.195558 	0.155314 	0.0979826 	0.0103252
Blazed 	1.2(0:0:0) 		176 		 0 		750 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.193965 	0.154578 	0.0984894 	0.0107456
Blazed 	1.2(0:0:0) 		176 		 0 		755 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.19242 	0.153899 	0.0990425 	0.0111812
Blazed 	1.2(0:0:0) 		176 		 0 		760 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.19091 	0.153214 	0.099569 	0.011622
Blazed 	1.2(0:0:0) 		176 		 0 		765 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.189513 	0.152635 	0.100177 	0.0120855
Blazed 	1.2(0:0:0) 		176 		 0 		770 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.188173 	0.152081 	0.100792 	0.01256
Blazed 	1.2(0:0:0) 		176 		 0 		775 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.186937 	0.151577 	0.101419 	0.0130477
Blazed 	1.2(0:0:0) 		176 		 0 		780 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.18588 	0.151176 	0.102099 	0.0135569
Blazed 	1.2(0:0:0) 		176 		 0 		785 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.184867 	0.150779 	0.102762 	0.0140735
Blazed 	1.2(0:0:0) 		176 		 0 		790 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.183905 	0.150335 	0.10333 	0.014583
Blazed 	1.2(0:0:0) 		176 		 0 		795 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.182992 	0.149887 	0.103861 	0.015095
Blazed 	1.2(0:0:0) 		176 		 0 		800 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.182086 	0.149416 	0.10435 	0.0156066
Blazed 	1.2(0:0:0) 		176 		 0 		805 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.181118 	0.148873 	0.10476 	0.0161088
Blazed 	1.2(0:0:0) 		176 		 0 		810 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.180197 	0.148337 	0.105147 	0.0166134
Blazed 	1.2(0:0:0) 		176 		 0 		815 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.179239 	0.147764 	0.105487 	0.0171138
Blazed 	1.2(0:0:0) 		176 		 0 		820 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.178291 	0.147177 	0.105793 	0.0176126
Blazed 	1.2(0:0:0) 		176 		 0 		825 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.177382 	0.146594 	0.106073 	0.0181112
Blazed 	1.2(0:0:0) 		176 		 0 		830 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.176419 	0.145976 	0.106316 	0.0186057
Blazed 	1.2(0:0:0) 		176 		 0 		835 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.1755 	0.145364 	0.106533 	0.0190991
Blazed 	1.2(0:0:0) 		176 		 0 		840 	SiO2.idx 	Pt.idx 			0.1 	na 	na 	1.46 	60 	  	0.174588 	0.144747 	0.106724 	0.0195903
